abbr     time          wkwtp1d0  wkwtg1d0  wkwtp2d0  wkwtg2d0  wkwtp3d0  wkwtg3d0  wkwtg0d0  wkmowkd0  wkcap1d0  wkcap2d0  wkcap3d0
     RHW 19580407             5         4         5         4         5         4         4        11         6        13        22
     RHW 19580408             5         3         5         3        21        19         3        10         1         9        22
     RHW 19580409             5         3        13         3        21         3         3         3         1         9         5
     RHW 19580410             4         3         4         3         4         3         3         3         1         2         5
     RHW 19580411             6         2         6         2         6         2         2         2         1         9         7
     RHW 19580412             6         8         6         8         6         8         7         7         4         6         7
     RHW 19580413             6         8         6         8         6        24         8        11         1        13        14
     RHW 19580414             7         8         7         8         7        24         7         7         6         7        14
     RHW 19580415             9         7        17         7        25         7         6         6         7        16        25
     RHW 19580416             5         9         5        17         5        25         5         9         9        16        25
     RHW 19580417             5         1         5         1        21         1         1        10         1        13        22
     RHW 19580418             5         9        13        17        13        25         5         5         1         9        22
     RHW 19580419             4         4        12        12        12        20         4        10         4         2         5
     RHW 19580420             3         3        11        11        11        11         3        11         5        10        11
     RHW 19580421             3         3         3        11        19        11         3        10         3        15        13
     RHW 19580422             3         1         3         9         3         9         3        11         2         1         3
     RHW 19580423             6         9         6        17        22        25         5         5         6        13        14
     RHW 19580424             6         4         6        12        22        12         4        10         1         6         7
     RHW 19580425             1         1         1         9         1         9         2         2         3         2         1
     RHW 19580426             1         1         9         9         9        17         1        10         3         4        20
     RHW 19580427             3         1         3         9        19        17         1         1         2        11        20
     RHW 19580428             4         3        12         3        12         3         4         4         1         1         3
     RHW 19580429             5         4        13         4        21         4         4         4         4         9         5
     RHW 19580430             6         5        14         5        14        21         5         5         5        12        16
     RHW 19580501             5         5        13        13        13        21         4        10         5        12        18
     RHW 19580502             3         4        11         4        11         4         4        10         5        10        12
     RHW 19580503             3         3         3        11         3        11         3        10         3         2         2
     RHW 19580504             4         3         4        11         4        11         3        10         4         2         5
     RHW 19580505             1         3         9        11        17        11         1         1         3        15        13
     RHW 19580506             1         1         9         9         9         9         1         1         3        15        20
     RHW 19580507             3         3        11        11        11        11         3         3         3         2         2
     RHW 19580508             1         1         9         9        17         9         1         1         3        15        13
     RHW 19580509             1         1         9         9         9         9         1         1         3        15        13
     RHW 19580510             1         1         9         9         9         9         2         2         3         4         1
     RHW 19580511             1         2         9        10         9        10         2         2         2         4        20
     RHW 19580512             1         2         1        10        17        10         2         2         2         4         4
     RHW 19580513             6         2        14        10        14        10         2         2         1         6         7
     RHW 19580514             2         2         2        10         2        10         2         2         2         7         4
     RHW 19580515             3         2         3         2         3        18         2         2         7         8         6
     RHW 19580516             1         2         1         2         1         2         2         2         9        14        24
     RHW 19580517             5         4        13         4        13         4         4         4         1         9        22
     RHW 19580518             4         3        12        11        12        11         3        10         4         2        11
     RHW 19580519             5         3        13        11        13        11         1        11         4         3         9
     RHW 19580520             7        10         7        18        23        26         2        11         1         6         1
     RHW 19580521             4         2         4        10         4        10         2        10         1         1         3
     RHW 19580522             6         8         6        16         6        16         2        11         1         6         7
     RHW 19580523             1         2         9        10        17        10         2         2         2         1         4
     RHW 19580524             2         2        10        10        10        10         2         2         2         4         4
     RHW 19580525             8         2         8        10        24        10         2         2         2         7         4
     RHW 19580526             3         2        11        10        11        10         2         2         2         1         4
     RHW 19580527             5         2         5        10         5        10         2         2         1         2         1
     RHW 19580528             4         2         4         2         4        18         2         2         1         1         3
     RHW 19580529             6         2         6        10         6        18         2         2         4         6         2
     RHW 19580530             9         2        17        10        25        18         8         8         1         1         1
     RHW 19580531             4         2        12         2        12         2         2        10         1         2         1
     RHW 19580601             2         1        10         9        10         9         2        10         3         4         1
     RHW 19580602             2         2        10        10        10        10         2         2         2         4         1
     RHW 19580603             4         2         4        10         4        10         2         2         1         1         1
     RHW 19580604             4         1         4         1        20        17         1         1         1         1         5
     RHW 19580605             5         3        13         3        13         3         3        10         1         1         3
     RHW 19580606             6         3         6        11        22        11         1        10         1         6         7
     RHW 19580607             7         1         7         1         7        17         2        10         3         2         2
     RHW 19580608             4         1        12         9        12         9         1        10         3         2         2
     RHW 19580609             5         1         5         9         5         9         1        11         1         1         3
     RHW 19580610             9         2        17         2        25         2         2         9         6        13         6
     RHW 19580611             5         9         5        17         5        25         5        11         6        13        10
     RHW 19580612             5         2         5         2        21         2         3        11         1         9        22
